id,zoho_id,first_name,last_name,email,designation,manager_id,is_active,created_at,updated_at
9878010f-8324-4d5b-920f-b742b2b4a1ae,306416000000300047,William,Smith,williamsmith@zylker.com,Team Member,346845b1-f18c-4ed3-8895-b61e3e96d9d1,t,2026-03-05 06:46:00.167243+00,2026-03-05 06:46:00.167243+00
5be650ec-91ed-43bb-bbf4-a7847a248c06,306416000000300045,Amardeep,Banjeet,amardeepbanjeet@zylker.com,Team Member,346845b1-f18c-4ed3-8895-b61e3e96d9d1,t,2026-03-05 06:46:00.168835+00,2026-03-05 06:46:00.168835+00
ad2b738d-5247-4c2a-bbf9-157c40f987f6,306416000000300043,Andrea,Garcia,andreagarcia@zylker.com,Team Member,346845b1-f18c-4ed3-8895-b61e3e96d9d1,t,2026-03-05 06:46:00.170575+00,2026-03-05 06:46:00.170575+00
83650308-9e40-424a-b58b-052a6f501166,306416000000300041,Aparna,Acharya,aparnaacharya@zylker.com,Team Member,111d4789-68fb-4554-9186-6a7c6aa27076,t,2026-03-05 06:46:00.172039+00,2026-03-05 06:46:00.172039+00
c3633adc-bcd2-4406-9937-652b120c86b9,306416000000300039,Emily,Jones,emilyjones@zylker.com,Team Member,111d4789-68fb-4554-9186-6a7c6aa27076,t,2026-03-05 06:46:00.173658+00,2026-03-05 06:46:00.173658+00
60b99090-8e65-4f00-85db-3f56a08048d2,306416000000300037,Isabella,Lopez,isabellalopez@zylker.com,Team Member,111d4789-68fb-4554-9186-6a7c6aa27076,t,2026-03-05 06:46:00.176032+00,2026-03-05 06:46:00.176032+00
2c4618d2-1572-46ab-9e56-6b768393c585,306416000000300035,Sofia,Rodriguez,sofiarodriguez@zylker.com,Team Member,5c0e6578-c606-4de4-a6f0-ef2404f6dcb1,t,2026-03-05 06:46:00.178837+00,2026-03-05 06:46:00.178837+00
a734833f-69e6-4ac3-8803-3949891061ac,306416000000300033,Olivia,Smith,oliviasmith@zylker.com,Team Member,5c0e6578-c606-4de4-a6f0-ef2404f6dcb1,t,2026-03-05 06:46:00.180631+00,2026-03-05 06:46:00.180631+00
3e885f79-02a9-4198-87d8-63d47ee7978b,306416000000300031,Lindon,Smith,lindonsmith@zylker.com,Team Member,5c0e6578-c606-4de4-a6f0-ef2404f6dcb1,t,2026-03-05 06:46:00.182523+00,2026-03-05 06:46:00.182523+00
346845b1-f18c-4ed3-8895-b61e3e96d9d1,306416000000300029,Caspian,Jones,caspianjones@zylker.com,Team Member,2689e9ce-28ce-47b6-a90f-6bbffeec33a7,t,2026-03-05 06:46:00.184353+00,2026-03-05 06:46:00.184353+00
111d4789-68fb-4554-9186-6a7c6aa27076,306416000000300027,Asher,Miller,ashermiller@zylker.com,Assistant Manager,44a0612f-080e-4d95-8c8e-53085ba70081,t,2026-03-05 06:46:00.186066+00,2026-03-05 06:46:00.186066+00
5c0e6578-c606-4de4-a6f0-ef2404f6dcb1,306416000000300025,Hazel,Carter,hazelcarter@zylker.com,Assistant Manager,aa763c30-88aa-491e-b5a3-a1c5b0094565,t,2026-03-05 06:46:00.187337+00,2026-03-05 06:46:00.187337+00
2689e9ce-28ce-47b6-a90f-6bbffeec33a7,306416000000300023,Ember,Johnson,emberjohnson@zylker.com,Assistant Manager,f45e8a98-5951-4e55-a2af-9512545be1ac,t,2026-03-05 06:46:00.188604+00,2026-03-05 06:46:00.188604+00
44a0612f-080e-4d95-8c8e-53085ba70081,306416000000300021,Andrew,Turner,andrewturner@zylker.com,Manager,f45e8a98-5951-4e55-a2af-9512545be1ac,t,2026-03-05 06:46:00.189833+00,2026-03-05 06:46:00.189833+00
aa763c30-88aa-491e-b5a3-a1c5b0094565,306416000000300019,Ethen,Anderson,ethenanderson@zylker.com,Manager,f45e8a98-5951-4e55-a2af-9512545be1ac,t,2026-03-05 06:46:00.190926+00,2026-03-05 06:46:00.190926+00
f45e8a98-5951-4e55-a2af-9512545be1ac,306416000000300015,Lilly,Williams,lillywilliams@zylker.com,Administration,68815ba4-f78e-42ae-9fb2-0a05e4dad76b,t,2026-03-05 06:46:00.192994+00,2026-03-05 06:46:00.192994+00
e2a74e33-2252-40f3-a205-811cd03fbc11,306416000000300051,Bunty,"",christopherbrown@zylker.com,Administration,68815ba4-f78e-42ae-9fb2-0a05e4dad76b,t,2026-03-05 06:46:00.152469+00,2026-03-05 06:46:00.152469+00
690857b5-9858-4b24-b148-8d2f190001dd,306416000000300049,Vaibhav,"",michaeljohnson@zylker.com,Administration,68815ba4-f78e-42ae-9fb2-0a05e4dad76b,t,2026-03-05 06:46:00.165388+00,2026-03-05 06:46:00.165388+00
6ce1b04e-1fb0-4f81-9ff0-459fbc22b9d1,306416000000300017,Rahul,Sharma,clarksonwalter@zylker.com,Administration,68815ba4-f78e-42ae-9fb2-0a05e4dad76b,t,2026-03-05 06:46:00.192148+00,2026-03-05 06:46:00.192148+00
68815ba4-f78e-42ae-9fb2-0a05e4dad76b,306416000000294005,Gaurav Radadiya,"",gauravradadiya223@gmail.com,CEO,,t,2026-03-05 06:46:00.194093+00,2026-03-05 06:46:00.194093+00
